n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38948345 78172617 39104718 39251788 39261462 39272479 39257966 39264836 39266636 39255192 39252583 39255864 39244641 39244766 39258927 39250592 39249577 39241282 39245383 39252668 39252269 39245551 39235585 39238388 39228827 39234824 39241789 39240060 39227085 39239835 39223249 39230210 
1 39044379 38751197 39050046 39041701 39050142 39038662 39051253 39042084 39035641 39037603 39036827 39032004 39036755 39038534 39042760 39040078 39045804 39032649 39031718 39044944 39043250 39053180 39041452 39030112 39034626 39044532 39045216 39035062 39057995 39043565 39050684 39047603 
2 39074509 38552058 39038207 39193217 39035790 39042063 39043391 39044054 39046504 39043765 39041066 39046591 39045313 39039329 39048383 39050797 39031980 39051622 39042336 39042398 39043948 39050487 39035742 39037861 39043060 39040954 39034948 39045378 39047574 39032216 39040596 39038644 
3 39109771 38808666 39096578 39031356 39047061 39049860 39053021 39040027 39033840 39040781 39044381 39040773 39046077 39034709 39033903 39034157 39047451 39042748 39036601 39040868 39045438 39040924 39037719 39040869 39045254 39037425 39046399 39044982 39050033 39044237 39039173 39041543 
4 39102041 38803555 39016556 39261850 39040822 39053679 39049848 39052162 39038209 39043789 39032464 39065204 39049834 39044120 39049333 39033215 39046485 39045931 39044973 39037104 39046081 39045338 39046683 39047252 39037614 39049980 39041888 39039303 39053740 39046656 39038317 39038779 
5 39097250 38813671 39023641 39024225 39309600 39037105 39049567 39042821 39051188 39026621 39049294 39046231 39043397 39045433 39042247 39035660 39043837 39045660 39049483 39046427 39044906 39040745 39049038 39040292 39049409 39043063 39053784 39051027 39046387 39042672 39038969 39052905 
6 39102567 38799157 39016063 39018579 39035802 39306052 39042757 39047152 39048388 39042691 39031760 39056868 39033200 39033788 39042804 39046046 39050382 39048954 39041400 39053040 39028043 39051059 39047730 39046027 39049405 39038700 39043534 39031718 39048978 39041947 39047323 39046478 
7 39091881 38803078 39018150 39020231 39024013 39032490 39292156 39041894 39052345 39037641 39039371 39037313 39039216 39046973 39034273 39039998 39045634 39046536 39052618 39056106 39037326 39046499 39045538 39047055 39038275 39050618 39030435 39052515 39044405 39046775 39056890 39041029 
8 39087959 38810350 39033099 39008316 39032063 39018117 39020679 39287970 39036733 39058498 39051775 39043439 39048951 39055236 39048277 39045642 39057485 39051545 39044966 39044362 39044453 39040309 39048371 39039451 39045080 39039218 39043738 39035036 39048422 39040883 39048529 39045834 
9 39084666 38821092 39031307 39024285 39031950 39023658 39014681 39028927 39284083 39044231 39042412 39051526 39035086 39050621 39056375 39056925 39048221 39042216 39051219 39052426 39046656 39034551 39046539 39047402 39038454 39042269 39050095 39042275 39038278 39062791 39054451 39048652 
10 39079517 38810441 39022425 39012377 39016353 39012154 39012436 39024131 39024728 39298054 39035277 39042822 39043569 39050759 39059379 39038786 39035781 39043620 39037830 39034751 39053686 39049365 39047572 39047893 39054750 39043339 39039729 39041374 39049592 39045429 39050418 39046346 
11 39071932 38813835 39019323 39016488 39017643 39021428 39018231 39023204 39024897 39021953 39272354 39033214 39042337 39044966 39057868 39056219 39048333 39047719 39053913 39046118 39039066 39039375 39046477 39044128 39046434 39051426 39048348 39037428 39044643 39045062 39047676 39041248 
12 39076660 38817475 39029280 39018595 39029932 39014669 39017545 39026821 39014417 39022994 39021782 39288530 39038799 39055255 39046883 39047436 39044747 39043211 39061132 39053923 39043920 39043136 39056572 39047110 39053128 39042558 39041072 39034284 39055580 39058602 39047829 39047299 
13 39062572 38821970 39030995 39023394 39015981 39030477 39020662 39007655 39026485 39031215 39016048 39032254 39287213 39030426 39048482 39042764 39039312 39047275 39045045 39044006 39053091 39041656 39040180 39050243 39049017 39033359 39044367 39041559 39047481 39045845 39054868 39047259 
14 39068709 38834578 39027461 39017987 39017465 39027590 39021963 39026379 39023094 39035747 39023428 39026700 39011697 39274385 39040882 39044798 39049720 39041884 39057764 39042563 39046587 39051920 39048090 39036153 39037213 39055087 39057265 39043107 39054204 39045803 39049301 39043734 
15 39073586 38812828 39017452 39022760 39018023 39022241 39008653 39015159 39022226 39015828 39027822 39032976 39025638 39019989 39266278 39032718 39048473 39036967 39043957 39054193 39044944 39036573 39056432 39057798 39042992 39045144 39039039 39047347 39047529 39031661 39047115 39043084 
16 39075602 38823244 39028020 39024600 39023092 39024880 39025401 39026274 39020268 39025736 39021294 39022076 39013365 39013737 39027356 39244897 39038571 39052496 39056381 39046310 39052282 39054470 39047918 39043425 39047002 39050034 39046513 39058744 39047938 39036346 39056566 39068448 
17 39064781 38834486 39021955 39022382 39010269 39012791 39016419 39027014 39021109 39029999 39029108 39029438 39017480 39027779 39028785 39008096 39265365 39042293 39046602 39037172 39046824 39043955 39035104 39049848 39047592 39044403 39041422 39050238 39046344 39052469 39046116 39051912 
18 39073567 38833587 39026238 39022573 39024368 39018571 39030808 39011825 39030518 39018404 39011340 39018886 39014181 39025039 39018433 39030242 39027150 39272432 39046677 39040812 39045634 39046369 39050121 39052238 39052653 39064874 39042562 39054348 39049091 39055238 39047107 39037866 
