n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 0.003894414752722 0.007817823439837 0.003911714535207 0.003926068544388 0.003926601260900 0.003925881814212 0.003925987984985 0.003926051780581 0.003925942350179 0.003925568889827 0.003925740718842 0.003925156313926 0.003925157245249 0.003924955613911 0.003925619646907 0.003925170749426 0.003924835007638 0.003924418706447 0.003924676682800 0.003924503922462 0.003924760036170 0.003924306947738 0.003924203570932 0.003923560492694 0.003923289943486 0.003923851065338 0.003923173993826 0.003923579584807 0.003923234064132 0.003923385869712 0.003922116942704 0.003922436386347 
1 0.003904406912625 0.003875459777191 0.003906270489097 0.003904047422111 0.003904511919245 0.003904177574441 0.003904616925865 0.003904585959390 0.003903846722096 0.003904489101842 0.003904615761712 0.003904303302988 0.003903817152604 0.003904676530510 0.003904338227585 0.003904396668077 0.003904673038051 0.003904202021658 0.003904141718522 0.003904385259375 0.003904616227373 0.003904401790351 0.003904248820618 0.003903790609911 0.003903967794031 0.003904274664819 0.003904512617737 0.003903708420694 0.003904903773218 0.003904333570972 0.003904869547114 0.003904050681740 
2 0.003907498437911 0.003855234710500 0.003903135890141 0.003918700385839 0.003903877455741 0.003904164768755 0.003904357552528 0.003904200159013 0.003904266515747 0.003904352895916 0.003904680721462 0.003904377110302 0.003904711920768 0.003904636949301 0.003904379438609 0.003904160577804 0.003904534038156 0.003904563840479 0.003904242534190 0.003903981298208 0.003904259297997 0.003904221113771 0.003904685378075 0.003904340788722 0.003903891891241 0.003904637880623 0.003904259065166 0.003903974546120 0.003904349869117 0.003903887467459 0.003904185956344 0.003904067678377 
3 0.003911133389920 0.003880817210302 0.003910395316780 0.003903517266735 0.003904785960913 0.003904595971107 0.003904441604391 0.003904754528776 0.003904028795660 0.003904319135472 0.003904136829078 0.003904619952664 0.003904520766810 0.003904092125595 0.003904222743586 0.003904105164111 0.003904167562723 0.003904193174094 0.003904338460416 0.003904453245923 0.003904609940946 0.003904190380126 0.003904324490577 0.003904317971319 0.003904588520527 0.003904508659616 0.003904192708433 0.003904304932803 0.003904273035005 0.003904248587787 0.003904362907633 0.003904134733602 
4 0.003910386469215 0.003879940835759 0.003901789896190 0.003925736062229 0.003904059063643 0.003905287943780 0.003904994344339 0.003904812037945 0.003904587822035 0.003904799232259 0.003904813434929 0.003904760582373 0.003904725657776 0.003904484212399 0.003904974320903 0.003904651850462 0.003904997836798 0.003904473735020 0.003904512152076 0.003904807148501 0.003904922865331 0.003905314486474 0.003904580138624 0.003904596669599 0.003904818091542 0.003904771292582 0.003904544748366 0.003904645564035 0.003904802724719 0.003905029268935 0.003904229262844 0.003904036944732 
5 0.003909995313734 0.003880462609231 0.003902273019776 0.003901567310095 0.003930114209652 0.003903758479282 0.003904736367986 0.003904639510438 0.003904816461727 0.003903859062120 0.003905185963959 0.003904496319592 0.003904076525941 0.003904347773641 0.003904511220753 0.003904355224222 0.003904789919034 0.003904702607542 0.003904824610800 0.003904696553946 0.003904411569238 0.003904291894287 0.003904454177245 0.003904478391632 0.003904419951141 0.003904340555891 0.003904479555786 0.003904556855559 0.003904459532350 0.003904393175617 0.003904215293005 0.003904795506969 
6 0.003909931983799 0.003880782984197 0.003902379423380 0.003902090014890 0.003902198281139 0.003930584993213 0.003904112614691 0.003904463723302 0.003904524724931 0.003904257668182 0.003904678393155 0.003904467215762 0.003904243698344 0.003904164535925 0.003904339391738 0.003904476296157 0.003905036952347 0.003904655808583 0.003904601791874 0.003904654411599 0.003903900040314 0.003904509823769 0.003904695622623 0.003904102137312 0.003904869314283 0.003904714016244 0.003904407611117 0.003904266282916 0.003905046731234 0.003904369892552 0.003904731944203 0.003904815996066 
7 0.003909021615982 0.003880864940584 0.003902095835656 0.003901458345354 0.003901991294697 0.003901889314875 0.003930516541004 0.003903951728716 0.003905503777787 0.003904385026544 0.003903875593096 0.003904288168997 0.003904219251126 0.003904262790456 0.003904665354639 0.003904359648004 0.003904697019607 0.003904290730134 0.003904668148607 0.003904550569132 0.003904120530933 0.003905068850145 0.003904853016138 0.003904217621312 0.003904264653102 0.003904984565452 0.003904496319592 0.003904531011358 0.003904482815415 0.003904483281076 0.003904637414962 0.003904222743586 
8 0.003909587394446 0.003881253069267 0.003902754513547 0.003901554504409 0.003902325872332 0.003901855554432 0.003901882329956 0.003929879516363 0.003903796663508 0.003905282123014 0.003904950106516 0.003904345445335 0.003904723096639 0.003904826473445 0.003904636716470 0.003905230434611 0.003905177349225 0.003904816694558 0.003904761513695 0.003904470475391 0.003904781537130 0.003904759651050 0.003904828336090 0.003904564771801 0.003905026474968 0.003904841374606 0.003904534038156 0.003903960809112 0.003904394805431 0.003904456039891 0.003904574085027 0.003904074896127 
9 0.003908513113856 0.003881490090862 0.003902331227437 0.003901989664882 0.003902363125235 0.003901999909431 0.003901761258021 0.003902499796823 0.003929764032364 0.003903969656676 0.003904740093276 0.003904628567398 0.003904452547431 0.003904500510544 0.003904864424840 0.003905027871951 0.003904696553946 0.003904566168785 0.003904708195478 0.003904700512066 0.003904787590727 0.003903926583007 0.003904402256012 0.003904470475391 0.003904250916094 0.003904881188646 0.003904721932486 0.003904840443283 0.003904332406819 0.003904922632501 0.003905049525201 0.003904856275767 
10 0.003908050246537 0.003881286596879 0.003902491182089 0.003902199445292 0.003902482101694 0.003902031807229 0.003902368713170 0.003902327967808 0.003902275580913 0.003928918391466 0.003903510747477 0.003904640674591 0.003904472570866 0.003904752433300 0.003904693527147 0.003904300276190 0.003904618788511 0.003904453711584 0.003904273267835 0.003903680713847 0.003904863260686 0.003904571058229 0.003904771525413 0.003904435317963 0.003904649987817 0.003904470242560 0.003904534503818 0.003905083751306 0.003904547775164 0.003904672339559 0.003904979676008 0.003904463024810 
11 0.003907565027475 0.003881635377184 0.003902506316081 0.003902184311301 0.003901959862560 0.003902391064912 0.003901949152350 0.003902574302629 0.003902548225597 0.003902146359906 0.003928350750357 0.003903574775904 0.003904815297574 0.003904689801857 0.003904652083293 0.003904696321115 0.003904615296051 0.003904860932380 0.003904489334673 0.003904377343133 0.003904494689777 0.003904417622834 0.003904523095116 0.003904716344550 0.003904675133526 0.003904858604074 0.003904511220753 0.003904178738594 0.003904780838639 0.003904437413439 0.003905028104782 0.003904649987817 
12 0.003907696809620 0.003881146200001 0.003902263473719 0.003902292577550 0.003902572905645 0.003902407595888 0.003902004100382 0.003902412718162 0.003902164287865 0.003901959396899 0.003902338445187 0.003928477875888 0.003904138226062 0.003904898185283 0.003904303768650 0.003904881654307 0.003904401091859 0.003904419252649 0.003905283519998 0.003904651384801 0.003904526354745 0.003904327750206 0.003904902143404 0.003904577810317 0.003904623212293 0.003904325421900 0.003904616460204 0.003904634853825 0.003905169200152 0.003905287478119 0.003904906101525 0.003904288168997 
13 0.003906815312803 0.003881894983351 0.003902453696355 0.003902498167008 0.003902354743332 0.003902065334842 0.003902279771864 0.003901962190866 0.003902169410139 0.003902720287442 0.003902127733454 0.003902042051777 0.003928083460778 0.003903554985300 0.003905248362571 0.003904600627720 0.003904201323166 0.003904802491888 0.003904213430360 0.003904817160219 0.003904656972736 0.003904542420059 0.003904400160536 0.003904610639438 0.003904799930751 0.003903823439032 0.003904750104994 0.003904860001057 0.003904456272721 0.003904212499037 0.003904971061274 0.003904124023393 
