n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 42842029 86008037 43020239 43194118 43187096 43185547 43181246 43197929 43190910 43183803 43182145 43172049 43176765 43179292 43181147 43170605 43169053 43163398 43169658 43161784 43172083 43167339 43170407 43170085 43152793 43156824 43160955 43170835 43158039 43154845 43143887 43146049 
1 42948499 42628064 42965150 42944047 42954981 42942980 42948527 42951320 42942419 42943024 42948389 42938447 42937751 42949903 42950093 42944183 42955163 42935198 42942086 42946080 42941141 42956147 42952498 42941110 42951480 42946472 42950444 42935287 42955935 42942328 42958628 42945157 
2 42979139 42405425 42925417 43105315 42941815 42944066 42947614 42942046 42944822 42947336 42957563 42950461 42950908 42953611 42954204 42946251 42949294 42951386 42944229 42949654 42942686 42944950 42945002 42946584 42950254 42947515 42946320 42946403 42949192 42941293 42948802 42946882 
3 43033941 42690139 43015749 42937509 42952282 42954323 42957819 42947753 42939996 42953431 42937610 42947022 42947446 42938174 42949742 42945466 42937409 42943666 42945905 42960574 42958878 42942268 42954047 42952875 42951795 42951937 42950836 42945239 42948948 42943567 42952086 42949011 
4 43014641 42685549 42920761 43188788 42947157 42953898 42952873 42945450 42950201 42949100 42949237 42958841 42955638 42942186 42954676 42946280 42948266 42951174 42953318 42953816 42954145 42965142 42947636 42939684 42953270 42956218 42949345 42951743 42950334 42956523 42947638 42944903 
5 43012814 42687318 42929912 42923480 43234302 42932063 42941164 42953691 42958109 42936794 42958653 42951273 42942428 42944053 42960538 42954563 42949468 42951269 42950636 42964549 42953827 42938056 42957291 42948808 42949975 42948058 42954185 42955816 42947447 42947308 42948198 -349735091 
6 43008639 42696477 42924193 42924771 42918927 43238418 42954040 42953898 42961166 42953109 42951958 42952874 42944715 42938116 42943548 42950173 42951897 42950520 42959955 42955843 42939118 42948740 42953662 42940032 42946435 42957945 42952767 42946272 42958569 42957481 42955075 42948006 
7 42995699 42678633 42927651 42908546 42912193 42927640 43237191 42938736 42959073 42949263 42935700 42952576 42937355 42947668 42949537 42955124 42947038 42947538 42961344 42956972 42942891 42953634 42959132 42943948 42943898 42948813 42949904 42956171 42945235 42949488 42943921 -338893712 
8 43011414 42699985 42934884 42912585 42928952 42910341 42922275 43228597 42936505 42955136 42956254 42946662 42959008 42954485 42955144 42957578 42965407 42949967 42956637 42944603 42959205 42950517 42945581 42954151 42957727 42959598 42941122 42943746 42943702 42953647 42948825 42937702 
9 42995603 42702776 42926522 42929292 42928047 42934086 42901603 42919506 43232401 42938771 42955800 42949710 42957524 42944757 42954165 42959255 42943049 42951125 42963047 42955781 42950632 42948965 42956829 42952823 42945569 42952685 42953266 42952041 42935238 42958089 42965292 42955364 
10 42998854 42689684 42929403 42929920 42921196 42925858 42921018 42922600 42924792 43218708 42936935 42946768 42952426 42952887 42953962 42944013 42950936 42949515 42934777 42933969 42947593 42949434 42968243 42954203 42949490 42957066 42956281 42963197 42944142 42956366 42957173 42948686 
11 42977944 42696584 42934082 42921920 42919450 42929067 42919313 42925787 42929576 42927679 43209073 42936752 42951220 42952185 42950727 42949400 42956671 42955023 42948853 42945014 42942604 42947432 42949800 42949090 42945795 42953150 42945538 42945969 42949848 42964179 42957697 -1192685374 
12 42995972 42701618 42922505 42920758 42935172 42924925 42912565 42927858 42924536 42926279 42930749 43212504 42954046 42949250 42941338 42953590 42945107 42949071 42963575 42947794 42944077 42950730 42952421 42939073 42948133 42938754 42957947 42945676 42970063 42952357 42953650 42952196 
13 42979198 42699519 42928719 42936338 42923289 42919219 42926088 42914856 42931708 42935168 42931136 42922558 43219057 42950030 42965856 42947022 42939931 42952417 42953110 42960266 42962157 42947007 42955310 42950712 42950475 42937964 42957553 42952328 42950928 42941211 42957340 42988653 
14 42983991 42705568 42921769 42908474 42914504 42922248 42929475 42933921 42926199 42929486 42928652 42916449 42917280 43201488 42943875 42949222 42949010 42954005 42950729 42945402 42952662 42953867 42954751 42943475 42937921 42964761 42957342 42952404 42946404 42957913 42957956 -1192689609 
15 42982920 42695876 42916658 42921232 42921228 42920559 42910219 42922175 42906488 42917478 42913937 42935542 42938485 42921392 43199611 42946056 42951124 42939722 42957580 42956239 42954960 42962606 42958555 42958776 42950104 42951195 42957004 42956109 42937575 42946211 42949776 -13051785 
16 42994377 42713833 42928991 42931443 42917884 42928414 42926325 42929465 42923425 42912437 42920353 42923435 42910240 42920035 42940123 43173803 42939002 42953814 42943593 42950819 42958057 42954747 42950481 42949108 42944018 42953386 42950382 42944386 42947006 42952109 42952357 42962001 
17 42968520 42712957 42923157 42935745 42924624 42924306 42926329 42917560 42927905 42915080 42934988 42936462 42924563 42924973 42935130 42921975 43186568 42938665 42950284 42945121 42956536 42942126 42952488 42952822 42951839 42952651 42944967 42954060 42955094 42954884 42947095 -13056603 
18 42966226 42703106 42919563 42919974 42924905 42924729 42924754 42915506 42928957 42919312 42920987 42923606 42920798 42923141 42930683 42923568 42929142 43205218 42945216 42955935 42960718 42948273 42956065 42953672 42956926 42963557 42946567 42956379 42967952 42948455 42951091 -13080736 
19 42957359 42697539 42919322 42920352 42923112 42921753 42926030 42933872 42934674 42925917 42918262 42924588 42938439 42932737 42921968 42915443 42917948 42925581 43196495 42945309 42945127 42944360 42960968 42961188 42951194 42954064 42957786 42953129 42940787 42942176 42943575 -13086765 
20 42961679 42708498 42929381 42923788 42924603 42908280 42928608 42929485 42918359 42938894 42920426 42922702 42931148 42929681 42929299 42927556 42919850 42921292 42922893 43189821 42944849 42941363 42950951 42957938 42952939 42942838 42955460 42953713 42945888 42946714 42948472 -14651966 
21 42961271 42705361 42925360 42918403 42940835 42924282 42923737 42929477 42930287 42927233 42931774 42937750 42932230 42935398 42925909 42914915 42930851 42933855 42928924 42930327 43190546 42948150 42950840 42955790 42951605 42954978 42957935 42948961 42955116 42946017 42958597 42953358 
22 42959063 42706503 42934345 42919611 42915437 42917625 42923736 42932897 42923913 42918833 42926858 42928301 42927058 42928739 42932323 42924138 42912040 42929230 42917440 42922883 42935101 43188347 42942900 42969777 42955497 42945561 42955072 42944998 42950047 42957104 42952991 -2104534396 
23 42948520 42727794 42921015 42942210 42926453 42925306 42926014 42927076 42925706 42937601 42936797 42924352 42917574 42926020 42927932 42924415 42925332 42916340 42913210 42936016 42923985 42933004 43174894 42953534 42962492 42952259 42966936 42935957 42943484 42945834 42941234 42959438 
24 42958078 42715684 42944718 42921034 42922495 42936194 42916648 42916963 42926829 42920619 42924721 42925660 42921088 42935074 42928787 42922894 42919955 42933608 42928651 42925762 42927785 42930660 42931209 43178159 42953532 42955071 42950239 42945532 42958867 42939813 42947345 -14243304 
