n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 19496759 39085644 19586584 19669360 19658201 19664813 19668309 19660173 19660532 19662615 19661652 19657000 19653207 19651347 19652356 19663610 19656877 19651165 19650697 19642985 19641234 19653768 19647290 19647449 19643355 19669109 19649715 19640512 19643599 19641638 19650434 19646193 
1 19575872 19408280 19569578 19551833 19544047 19550548 19548532 19558803 19549610 19546775 19554510 19552526 19544003 19551123 19554606 19555128 19559480 19552571 19544786 19551806 19560422 19549798 19559980 19557059 19544885 19548179 19559116 19550133 19551229 19552295 19555795 19545229 
2 19576046 19303345 19543706 19619740 19549868 19558535 19547067 19557775 19545608 19541746 19564505 19550023 19553303 19555191 19555242 19549022 19550489 19555463 19548380 19539226 19547256 19547007 19549429 19548589 19543845 19553037 19558986 19542838 19555747 19562054 19541459 19552504 
3 19590437 19439906 19588548 19543939 19552688 19564657 19548547 19548357 19557931 19568875 19547681 19554288 19544553 19550787 19548384 19551483 19560437 19554437 19561737 19552022 19552729 19544095 19551842 19561706 19548766 19545821 19547904 19554863 19549075 19540321 19550257 19547998 
4 19581767 19421704 19539870 19660327 19547606 19552550 19547241 19556918 19560559 19553803 19543603 19544265 19559420 19549452 19546170 19567650 19545074 19561317 19558393 19563744 19542900 19557228 19557535 19554282 19553783 19543983 19549695 19548223 19568213 19558705 19547999 19562185 
5 19573306 19428320 19528700 19547583 19672979 19540697 19554539 19555021 19556394 19554678 19566061 19545527 19537905 19554872 19549196 19547472 19559067 19541044 19549020 19545825 19556008 19553341 19553909 19557787 19545238 19557471 19550417 19552824 19555386 19549829 19561461 19554716 
6 19583785 19435204 19550913 19550633 19543309 19680771 19550041 19559924 19553809 19562135 19561674 19549433 19562384 19551352 19551815 19552997 19556593 19557223 19556155 19551729 19551344 19549276 19557419 19554340 19552010 19549527 19555775 19554969 19542318 19538153 19552694 19563111 
7 19575659 19443246 19533040 19548714 19536936 19537149 19693775 19552773 19557382 19552712 19546309 19555807 19562124 19557664 19559701 19556782 19565890 19552015 19562739 19547458 19547641 19565743 19562257 19543865 19551083 19552091 19555986 19555981 19554208 19560186 19561132 19554112 
8 19574581 19444912 19550035 19552523 19544768 19536164 19542593 19681191 19549359 19553637 19550966 19555286 19551621 19563365 19556960 19554835 19551559 19558982 19553672 19558146 19562923 19557116 19561147 19548468 19541107 19554605 19566856 19565512 19540930 19552837 19552307 19549202 
9 19569292 19441333 19535651 19538227 19541245 19543996 19536802 19543535 19672163 19548641 19563792 19566611 19535917 19564964 19560060 19547560 19556359 19556911 19552441 19550045 19562814 19561916 19546504 19553816 19554749 19542998 19561121 19554812 19555798 19547137 19555913 19557362 
10 19576854 19441821 19543108 19544579 19542849 19543418 19539030 19533236 19540782 19667828 19538345 19564494 19550072 19543023 19559091 19544866 19568927 19548137 19556302 19547108 19545124 19546614 19548477 19559979 19554786 19548974 19559593 19552661 19548716 19552149 19554693 19550724 
11 19571030 19441426 19558133 19531979 19541998 19545675 19540969 19529842 19542398 19539778 19670324 19556553 19556477 19565718 19553502 19559142 19552026 19552170 19558476 19558354 19543006 19554728 19557447 19560036 19547688 19559476 19554405 19555584 19547431 19546368 19558330 19551888 
12 19582236 19442180 19551621 19541932 19543529 19552892 19549437 19557138 19533149 19545072 19551119 19674087 19553724 19549703 19538971 19562623 19562323 19556795 19555935 19557802 19546680 19549580 19553467 19550873 19555080 19552977 19547445 19539306 19552974 19548479 19566162 19554654 
13 19572388 19434708 19555377 19545824 19555713 19538493 19549883 19531182 19544577 19537336 19533640 19559717 19671459 19555804 19552904 19552153 19537880 19555617 19546535 19544773 19551683 19565776 19556801 19554744 19549363 19547363 19554509 19553583 19549409 19563538 19556780 19547491 
14 19567857 19439945 19534174 19548252 19540517 19552594 19538011 19542860 19554609 19536761 19556135 19541891 19546820 19674943 19553755 19540787 19541672 19564532 19549828 19557379 19551824 19564425 19556650 19551849 19554508 19555829 19554704 19565479 19551051 19565697 19551160 19545088 
