n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 4291145 4285145 4299427 4299738 4293410 4296095 4298131 4293772 4296503 4295400 4302049 4294431 4296148 4296666 4291512 4289326 4292251 4295058 4304665 4295277 4291652 4294372 4296885 4296201 4297617 4294198 4294460 4297037 4293730 4306382 4292815 4293413 
1 4292920 4286338 4292558 4294586 4296200 4289805 4298501 4296427 4301473 4300134 4302889 4298482 4292300 4295594 4294573 4293720 4291634 4297906 4303270 4293158 4293913 4297726 4298553 4301325 4299465 4295042 4295038 4291948 4291527 4300943 4295256 4290530 
2 4294207 4289003 4295489 4297552 4293539 4295417 4295433 4295669 4295598 4297348 4299930 4295848 4294328 4295005 4291597 4293102 4293945 4298308 4299700 4294533 4291361 4296305 4299136 4298876 4293878 4295070 4294999 4294349 4294611 4304418 4297213 4293084 
3 4300089 4289033 4294373 4296001 4294801 4289865 4297357 4296249 4297615 4297613 4298003 4297644 4298407 4299057 4292010 4292515 4290299 4296072 4305832 4297800 4292636 4297514 4299004 4297176 4297415 4294285 4296670 4294490 4297769 4301759 4299614 4290689 
4 4296466 4288277 4297440 4294225 4292193 4293790 4300066 4293290 4299821 4301435 4297539 4293481 4297878 4297446 4291693 4292714 4293201 4297532 4305113 4300629 4290450 4294115 4293890 4297971 4295872 4293114 4295442 4296389 4295111 4302250 4297108 4292327 
5 4296344 4287985 4296937 4296461 4296228 4293346 4298261 4296143 4300014 4298063 4302286 4291876 4298887 4296790 4291994 4290723 4291214 4302384 4304539 4296814 4292852 4296912 4297365 4297557 4297891 4298668 4295929 4291383 4292810 4301773 4294993 4294698 
6 4294753 4287855 4295500 4293722 4297295 4292513 4297112 4294564 4300610 4298394 4301940 4295237 4298224 4298948 4291891 4291079 4292498 4297629 4302292 4297207 4293892 4298313 4299382 4301023 4298599 4295136 4296802 4294434 4296390 4305589 4312700 4295797 
7 4299796 4286635 4295115 4296062 4294907 4292921 4297596 4295754 4299542 4298823 4302550 4291654 4297131 4299660 4297160 4290549 4298756 4295540 4304382 4298045 4287825 4296922 4299945 4294762 4298375 4295054 4297661 4293945 4289829 4305619 4291597 4292452 
8 4290417 4283589 4294863 4298915 4293716 4292367 4297942 4294270 4299674 4299677 4301916 4294341 4296748 4299246 4294281 4292739 4292561 4298821 4302383 4297950 4292254 4294672 4292925 4296458 4296913 4294247 4296568 4298141 4288572 4303269 4295634 4293282 
9 4290614 4289762 4294252 4290117 4292720 4292700 4296731 4293420 4295144 4301176 4302208 4297185 4296945 4294776 4295160 4293474 4292768 4300167 4304326 4297869 4294085 4295715 4296298 4294346 4299908 4298376 4295390 4292630 4294166 4299622 4295597 4295145 
10 4293313 4285498 4290831 4293627 4294685 4291684 4297244 4300818 4299120 4299119 4302277 4295666 4296595 4301309 4293971 4293624 4290564 4299527 4300852 4294847 4297686 4295339 4299322 4298931 4294858 4297569 4296736 4292707 4296301 4304109 4296878 4295716 
11 4293503 4285443 4295677 4293069 4296622 4294726 4297539 4295597 4297244 4302906 4302803 4295170 4300602 4294014 4293138 4292987 4292223 4299013 4301597 4300845 4294353 4296495 4296046 4298728 4298481 4293950 4295750 4295627 4295108 4303980 4291173 4294131 
12 4290070 4285385 4295453 4293193 4293689 4293836 4297218 4296336 4299882 4299690 4300796 4296064 4297803 4295081 4292033 4295808 4294160 4297369 4302831 4295118 4294200 4298729 4296497 4297668 4297175 4293084 4296856 4296664 4294821 4303248 4295208 4295307 
13 4295932 4283729 4293597 4294885 4294225 4292564 4295938 4292427 4296689 4298910 4302115 4295273 4295202 4299729 4288053 4292863 4291158 4295340 4302642 4298480 4291095 4295664 4297912 4293364 4293084 4295822 4294857 4293864 4293137 4306006 4295749 4294941 
14 4294773 4288150 4295399 4293220 4298126 4294344 4300984 4295102 4297419 4298244 4302617 4298244 4296730 4298167 4293450 4294913 4291594 4296886 4302268 4295101 4292806 4297588 4297311 4303082 4300415 4294843 4296836 4291035 4294245 4299956 4297160 4297577 
15 4295342 4284678 4295524 4295539 4295942 4292786 4297126 4298258 4298399 4300084 4301365 4299317 4297041 4302236 4288088 4292765 4295549 4293552 4303656 4294866 4296995 4292516 4298535 4296169 4299035 4292658 4292477 4294398 4294003 4304061 4294913 4295083 
16 4288702 4287161 4292904 4295972 4297711 4293543 4300860 4297555 4298682 4299909 4304313 4291543 4296163 4298820 4297411 4295806 4292479 4297195 4302237 4297352 4292809 4298333 4294726 4297001 4293730 4293313 4289970 4288263 4294107 4305571 4298738 4295674 
17 4291033 4284718 4294636 4295706 4295532 4293769 4298460 4299228 4295447 4302512 4303140 4293714 4294735 4297303 4293906 4294544 4293804 4298510 4299249 4295241 4294164 4296658 4295248 4296992 4292516 4292861 4293811 4295998 4292881 4299676 4299097 4293011 
18 4290718 4287059 4292608 4294011 4292319 4289329 4301328 4292161 4297175 4296726 4304322 4292814 4294806 4299397 4290862 4289609 4289192 4297161 4301401 4296220 4296162 4300164 4296102 4297073 4298470 4293810 4294846 4292787 4290855 4302266 4294541 4290837 
19 4290023 4282782 4292162 4293313 4293987 4292863 4300113 4297402 4302047 4302091 4303930 4293530 4295585 4299217 4320280 4290310 4295842 4298229 4302795 4295640 4295689 4298492 4292258 4298819 4293671 4292459 4295298 4289689 4293957 4302704 4294911 4293794 
20 4292344 4286716 4293996 4295363 4293926 4293922 4297627 4295143 4299644 4300062 4301050 4292685 4299859 4296442 4294739 4292687 4290880 4296307 4298349 4297213 4294460 4294994 4294747 4298803 4294533 4298065 4294764 4293325 4290685 4301139 4294522 4292393 
21 4291297 4286124 4293748 4294492 4294402 4290611 4300474 4296489 4297110 4304519 4306063 4288722 4296888 4302592 4294606 4288821 4293763 4300856 4302372 4297872 4287062 4296077 4296052 4293307 4294398 4299446 4290480 4292377 4292983 4303271 4292676 4289365 
22 4288922 4285591 4294285 4293267 4294752 4291130 4299514 4296064 4296265 4299197 4304785 4292644 4292886 4296443 4294406 4296373 4292778 4297573 4300856 4294640 4293328 4297402 4297245 4294850 4296431 4296423 4296061 4292589 4294050 4301789 4292928 4292595 
23 4290923 4285880 4296494 4291963 4290956 4293132 4298280 4296253 4299110 4300336 4305189 4294329 4297409 4298154 4293324 4290738 4294014 4298569 4304198 4295992 4290949 4299667 4298648 4301915 4296976 4291902 4294341 4292507 4295555 4302978 4293458 4309238 
24 4287997 4288106 4294893 4293673 4292608 4291296 4300680 4294182 4299056 4298988 4303447 4293387 4300172 4297597 4295038 4293183 4295692 4297133 4298613 4299057 4296045 4298224 4297699 4298600 4293568 4296910 4295153 4293157 4295163 4301002 4294540 4288793 
