n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 428385626 859960441 430288455 431867505 431926110 431846999 431858626 431865574 431853591 431812456 431831565 431767204 431767382 431745189 431818089 431768827 431731858 431686020 431714482 431695387 431723680 431673732 431662383 431591445 431561927 431623578 431549042 431593561 431555865 431572552 431432875 431467830 
1 429484777 426300537 429689614 429445228 429496263 429459508 429507799 429504317 429423089 429493695 429507773 429473380 429419975 429514501 429477129 429483690 429514042 429462188 429455640 429482321 429507884 429484193 429467347 429416757 429436473 429470213 429496333 429407721 429539511 429476779 429535648 429445426 
2 429824852 424075770 429344794 431057009 429426454 429458112 429479308 429461894 429469290 429478714 429514947 429481500 429518408 429510159 429481662 429457725 429498761 429501999 429466717 429437874 429468614 429464332 429515382 429477294 429428127 429510158 429468404 429436991 429478591 429427723 429460445 429447305 
3 430224719 426889844 430143357 429386892 429526399 429505541 429488532 429522863 429443143 429475008 429455106 429508228 429497384 429450194 429464421 429451607 429458475 429461210 429477283 429489816 429507182 429460923 429475684 429474795 429504776 429495924 429461127 429473344 429470153 429467411 429479898 429454684 
4 430142519 426793452 429196741 431830985 429446480 429581650 429549348 429529194 429504616 429527795 429529529 429523668 429519905 429493332 429547103 429511736 429549789 429492077 429496370 429528749 429541609 429584571 429503812 429505452 429530030 429524839 429499853 429510807 429528412 429553317 429465213 429443951 
5 430099511 426850860 429249882 429172374 432312542 429413416 429520945 429510193 429529770 429424398 429570506 429494632 429448523 429478324 429496146 429479134 429526923 429517248 429530753 429516588 429485356 429472102 429489961 429492406 429486217 429477441 429492658 429501061 429490657 429483325 429463675 429527374 
6 430092536 426886069 429261612 429229890 429241774 432364330 429452363 429490889 429497678 429468216 429514683 429491428 429466881 429458185 429477232 429492433 429554065 429512093 429506230 429511922 429429089 429496070 429516520 429451041 429535648 429518529 429484760 429469096 429555254 429480783 429520519 429529618 
7 429992408 426895100 429230410 429160429 429219010 429207812 432356799 429434568 429605390 429482226 429426378 429471703 429464185 429469008 429513135 429479608 429516710 429471937 429513538 429500502 429453348 429557556 429533813 429463731 429469136 429548279 429494544 429498204 429493212 429493259 429510118 429464342 
8 430054667 426937796 429302843 429170974 429255810 429204083 429206994 432286629 429417604 429580928 429544571 429478007 429519623 429531004 429509959 429575388 429569546 429529806 429523800 429491721 429526050 429523540 429531117 429501911 429552916 429532540 429498662 429435476 429483552 429490247 429503122 429448094 
9 429936487 426963879 429256301 429218833 429259909 429219959 429193705 429274852 432273977 429436549 429521468 429509138 429489860 429495150 429534995 429553120 429516644 429502225 429517948 429517019 429526713 429431899 429484222 429491552 429467605 429536932 429519314 429532260 429476684 429541581 429555423 429534034 
